genes,reactions,density,cluster,Refseq_ID,Mycobrowser_Version,Feature,Start,Stop,Score,Strand,Frame,Name,Function,Product,Comments,UniProt_AC,Is_Pseudogene,Functional_Category,Protein Data Bank,PFAM,UniProt,Gene Ontology,Enzyme Classification,Drug Resistance Mutations,InterPro,UniProtKB/TrEMBL,SWISS-MODEL,Orthologues M. leprae,Orthologues M. marinum,Orthologues M. smegmatis,Orthologues M. bovis,Orthologues M. lepromatosis,Orthologues M. tuberculosis,Orthologues M. abscessus,Orthologues M. haemophilum,Orthologues M. orygis
Rv1511,GMAND,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,1703074.0,1704096.0,.,+,0.0,gmdA,"Unknown, probably involved in nucleotide-sugar metabolism","GDP-D-mannose dehydratase GmdA (GDP-mannose 4,6 dehydratase) (GMD)","Rv1511, (MTCY277.33), len: 340 aa. Probable gmdA, GDP-D-mannose dehydratase, equivalent to AF125999|AF125999_13 Mycobacterium avium enzyme (343 aa), FASTA scores: opt: 2085, E(): 0, (89.1% identity in 338 aa overlap); similar to G755218 pseudomonas aeruginosa GDP-D-mannose dehydratase (GCA) (323 aa), FASTA scores: opt: 1073, E(): 0, (51.9% identity in 320 aa overlap); and to S74433 GDP-D-mannose dehydratase rfbD - Syn (362 aa), FASTA scores: opt: 1405, E(): 0, (63.9% identity in 327 aa overlap).",P71790,No,intermediary metabolism and respiration,,P71790,P71790,"GO:0019673,GO:0050662,GO:0005622,GO:0008446",4.2.1.47,,,,P71790,,,,,,,,,
Rv3396c,GMPS2,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,3812501.0,3814078.0,.,-,0.0,guaA,Involved in GMP biosynthesis [catalytic activity: ATP + xanthosine 5'-phosphate + L-glutamine + H(2)O = AMP + pyrophosphate + GMP + L-glutamate].,Probable GMP synthase [glutamine-hydrolyzing] GuaA (glutamine amidotransferase) (GMP synthetase),"Rv3396c, (MTCY78.32), len: 525 aa. Probable guaA, gmp synthase (see citation below), equivalent to P46810|GUAA_MYCLE|ML0395|B1620_C2_205 GMP synthase [glutamine-hydrolyzing] from Mycobacterium leprae (529 aa), FASTA scores: opt: 2992, E(): 8.5e-168, (86.85% identity in 525 aa overlap). Also highly similar to others e.g. O52831|GUAA_CORAM from Corynebacterium ammoniagenes (Brevibacterium ammoniagenes) (524 aa), FASTA scores: opt: 2636, E(): 5.9e-147, (76.2% identity in 521 aa overlap); Q9L0H2|GUAA_STRCO from Streptomyces coelicolor (526 aa), FASTA scores: opt: 2451, E(): 4.1e-136, (71.55% identity in 513 aa overlap); Q9KF78|GUAA_BACHD from Bacillus Halodurans (513 aa), FASTA scores: opt: 1819, E(): 4.1e-99, (52.55% identity in 510 aa overlap); etc. Contains PS00442 Glutamine amidotransferases class-I active site. Belongs to the type-1 glutamine amidotransferase family in the N-terminal section. And belongs to the GMP synthase family in the C-terminal section.",P9WMS7,No,intermediary metabolism and respiration,,P0A5A1,P9WMS7,"GO:0006177,GO:0003922,GO:0006541,GO:0005524",6.3.5.2,,,,P9WMS7,ML0395,MMAR_1148,MSMEG_1610,Mb3429c,,,,,
Rv2051c,GMT1,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,2308131.0,2310755.0,.,-,0.0,ppm1,Transfers mannose from GDP-mannose to all endogenous polyprenol-phosphates.,Polyprenol-monophosphomannose synthase Ppm1,"Rv2051c, (MTV018.38c), len: 874 aa. Ppm1, Polyprenol-monophosphomannose synthase. Transfers mannose from GDP-Mannose to all endogenous polyprenol-phosphates in Mycobacterium tuberculosis, proven experimentally (A. Baulard, Institut Pasteur de Lille: see citation below).",O53493,No,cell wall and cell processes,,O53493,O53493,"GO:0016810,GO:0016021,GO:0042158,GO:0006807,GO:0005886,GO:0016410",,,,,O53493,"ML1440c,ML1441c",MMAR_3029,,Mb2077c,,,,,
Rv1122,GND,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,1245129.0,1246151.0,.,+,0.0,gnd2,Involved in hexose monophosphate shunt (pentose phosphate pathway). [catalytic activity: 6-phospho-D-gluconate + NADP+ = D-ribulose 5-phosphate + CO2 + NADPH],"Probable 6-phosphogluconate dehydrogenase, decarboxylating Gnd2","Rv1122, (MTCY22G8.11), len: 340 aa. Probable gnd2, 6-phosphogluconate dehydrogenase, decarboxylating, highly similar to Q53917 6-phosphogluconate dehydrogenase from Streptomyces coelicolor (291 aa), fasta scores: opt: 431, E(): 2.2e-20, (44.5% identity in 335 aa overlap). Also similar to Rv1844c|MTCY359.29|gnd1 probable 6-phosphogluconate dehydrogenase from Mycobacterium tuberculosis (485 aa), FASTA score: (33.0% identity in 351 aa overlap). Note that Rv1844c|MTCY359.29|gnd1 is most similar to gnd's from Gram negative organisms, while gnd2 is most similar to gnd's from Gram positive organisms. Belongs to the 6-phosphogluconate dehydrogenase family.",O06574,No,intermediary metabolism and respiration,,O06574,O06574,"GO:0055114,GO:0006098,GO:0004616,GO:0050661",1.1.1.44,,,,O06574,ML0944,MMAR_4338,MSMEG_0002,Mb1153,,,,,
Rv1844c,GND,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,2093731.0,2095188.0,.,-,0.0,gnd1,Involved in hexose monophosphate shunt (pentose phosphate pathway) [catalytic activity: 6-phospho-D-gluconate + NADP+ = D-ribulose 5-phosphate + CO2 + NADPH].,Probable 6-phosphogluconate dehydrogenase Gnd1,"Rv1844c, (MTCY359.29), len: 485 aa. Probable gnd1, 6-phosphogluconate dehydrogenase. Similar to others e.g. 6PGD_ECOLI|P00350 from Escherichia coli (468 aa), FASTA scores: opt: 1661, E(): 0, (53.6% identity in 466 aa overlap); etc. Also similar to Rv1122|MTCY22G8.11|gnd2 probable 6-phosphogluconate dehydrogenase, decarboxylating from Mycobacterium tuberculosis (340 aa), FASTA score: (33.0% identity in 351 aa overlap). Note that Rv1844c is most similar to gnd's from Gram negative organisms, while Rv1122|MTCY22G8.11|gnd2 is most similar to gnd's from Gram positive organisms. Belongs to the 6-phosphogluconate dehydrogenase family.",Q79FJ2,No,intermediary metabolism and respiration,,Q79FJ2,Q79FJ2,"GO:0055114,GO:0006098,GO:0004616,GO:0050661",1.1.1.44,,,,Q79FJ2,ML2065,MMAR_2718,MSMEG_3632,Mb1875c,,,,,
Rv0317c,GPDDA2,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,385173.0,385943.0,.,-,0.0,glpQ2,Glycerophosphoryl diester phosphodiesterase hydrolyzes deacylated phospholipids to G3P and the corresponding alcohols [catalytic activity: a glycerophosphodiester + H(2)O = an alcohol + SN-glycerol 3-phosphate].,Possible glycerophosphoryl diester phosphodiesterase GlpQ2 (glycerophosphodiester phosphodiesterase),"Rv0317c, (MTCY63.22c), len: 256 aa (start uncertain, chosen by homology). Possible glpQ2, glycerophosphoryl diester phosphodiesterase, similar to others e.g. E75317|6459876|AAF11631.1|AE002044_4 glycerophosphoryl diester phosphodiesterase from Deinococcus radiodurans (285 aa); P10908|UGPQ_ECOLI from Escherichia coli (247 aa), FASTA scores: opt: 220, E(): 5.2e-07, (28.0% identity in 250 aa overlap). Also similar to MTCY01A6.27 from Mycobacterium tuberculosis FASTA score: (27.5% identity in 247 aa overlap).",O07244,No,intermediary metabolism and respiration,,O07244,O07244,"GO:0008889,GO:0006629,GO:0006071",3.1.4.46,,,,O07244,,MMAR_0494,,Mb0325c,,,,,
Rv2277c,GPDDA2,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,2549124.0,2550029.0,.,-,0.0,Rv2277c,Unknown,Possible glycerolphosphodiesterase,"Rv2277c, (MTCY339.33), len: 301 aa. Possible glycerolphosphodiesterase, similar to e.g. UGPQ_ECOLI P10908 glycerophosphoryldiester phosphodiesterase (cytosolic) (247 aa), FASTA scores, opt: 149, E(): 0.0061, (27.2% identity in 195 aa overlap). Start of protein uncertain, encoded by neighbouring IS6110 as given, is intact in Mycobacterium tuberculosis CDC1551",P9WLF1,No,intermediary metabolism and respiration,,Q50687,P9WLF1,"GO:0008889,GO:0006629,GO:0006071",,,,,P9WLF1,,MMAR_4162,,Mb2300c,,,,,
Rv3842c,GPDDA2,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,4314738.0,4315562.0,.,-,0.0,glpQ1,Glycerophosphoryl diester phosphodiesterase hydrolyzes deacylated phospholipids to G3P and the corresponding alcohols [catalytic activity: a glycerophosphodiester + H(2)O = an alcohol + SN-glycerol 3-phosphate].,Probable glycerophosphoryl diester phosphodiesterase GlpQ1 (glycerophosphodiester phosphodiesterase),"Rv3842c, (MTCY01A6.27), len: 274 aa. Probable glpQ1, glycerophosphoryl diester phosphodiesterase, equivalent to Q9CDC5|GLPQ|ML0074 putative glycerophosphoryl diester phosphodiesterase from Mycobacterium leprae (271 aa), FASTA scores: opt: 1635, E(): 1.9e-100, (88.85% identity in 269 aa overlap). Also highly similar to others e.g. CAC44700|SCBAC25E3.13c putative phosphodiesterase from Streptomyces coelicolor (275 aa), FASTA scores: opt: 413, E(): 5.7e-20, (48.05% identity in 258 aa overlap); P37965|GLPQ_BACSU glycerophosphoryl diester phosphodiesterase from Bacillus subtilis (293 aa), FASTA scores: opt: 405, E(): 2e-19, (31.3% identity in 249 aa overlap); Q99VC9|GLPQ|SA0820 glycerophosphoryl diester phosphodiesterase from Staphylococcus aureus subsp. aureus N315 (309 aa) FASTA scores: opt: 341, E(): 3.5e-15, (29.3% identity in 273 aa overlap); etc.",P9WMU3,No,intermediary metabolism and respiration,,P96236,P9WMU3,"GO:0008889,GO:0006629,GO:0046872,GO:0006071",3.1.4.46,,,,P9WMU3,ML0074,,MSMEG_6423,Mb3872c,,,,,
Rv1086,GRTT,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,1210595.0,1211383.0,.,+,0.0,Rv1086,"Catalyzes the first committed step in the synthesis of decaprenyl diphosphate, a molecule which has a central role in the biosynthesis of most features of the mycobacterial cell wall. Adds one isoprene unit to omega,E-geranyl diphosphate. The product, omega,E, Z-farnesyl diphosphate, is the putative substrate of Rv2361c product [catalytic activity: geranyl diphosphate + isopentenyl diphosphate = diphosphate + trans,trans-farnesyl diphosphate].",Short (C15) chain Z-isoprenyl diphosphate synthase (Z-FPP synthase) (Z-farnesyl diphosphate synthase) (Z-FPP synthetase) (Z-farnesyl diphosphate synthetase) (geranyltranstransferase) (farnesyl pyrophosphate synthetase),"Rv1086, (MTV017.39), len: 262 aa. Short (C15) chain Z-isoprenyl diphosphate synthase (see citations below), equivalent to NP_302598.1|NC_002677 possible undecaprenyl pyrophosphate synthetase from Mycobacterium leprae (262 aa), similar to many hypothetical proteins and several potential members of the upp synthase family e.g. NP_296167.1|NC_001263 undecaprenyl diphosphate synthase from Deinococcus radiodurans (339 aa); P20182|YT14_STRFR Hypothetical protein from Streptomyces fradiae (259 aa), FASTA scores: opt: 840, E(): 0, (51.0% identity in 259 aa overlap); and P38118|YARF_CORGL Hypothetical protein from Corynebacterium glutamicicum (234 aa), FASTA scores: opt: 729, E(): 0, (56.0% identity in 209 aa overlap); etc. Also similar to Rv2361c|MTCY27.19 (296 aa) (35.6% identity in 233 aa overlap). Contains PS01066 Uncharacterized protein family UPF0015 signature. Seems to belong to the UPP synthetase family.",P9WFF5,No,cell wall and cell processes,"2VFW,2VG0,2VG1",O53434,P9WFF5,"GO:0007047,GO:0009252,GO:0008360,GO:0033850",2.5.1.68,,,,P9WFF5,ML2467,MMAR_4380,MSMEG_5256,Mb1115,,,,,
Rv2855,GTHOr,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,3165205.0,3166584.0,.,+,0.0,mtr,Involved in reduction of mycothiol.,NADPH-dependent mycothiol reductase Mtr,"Rv2855, (MTCY24A1.02c), len: 459 aa. Mtr, NADPH-dependent mycothiol reductase, proven enzymatically but previously described as glutathione reductase homolog (gene name: gorA) (see citation below). Similar to others e.g. Q9L7K8|MERA mercuric reductase from Streptomyces sp. CHR28 (474 aa), FASTA scores: opt: 719, E(): 9e-38, (35.2% identity in 460 aa overlap); P30341|MERA_STRLI mercuric reductase from Streptomyces lividans (474 aa), FASTA scores: opt: 712, E(): 2.5e-37, (34.95% identity in 455 aa overlap); Q98ED5|MLL4296 ferric leghemoglobin reductase-2 precursor, dihydrolipoamide dehydrogenase from Rhizobium loti (Mesorhizobium loti) (468 aa), FASTA scores: opt: 670, E(): 1.1e-34, (30.8% identity in 471 aa overlap); etc. Belongs to the pyridine nucleotide-disulphide oxidoreductases class-I. Cofactor: FAD.",P9WHH3,No,intermediary metabolism and respiration,,O07927,P9WHH3,"GO:0045454,GO:0005737,GO:0055114,GO:0016491,GO:0050660",1.-.-.-,,,,P9WHH3,ML1570,MMAR_1875,MSMEG_2611,Mb2880,,,,,
Rv1283c,GTHRDt2,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,1436140.0,1437117.0,.,-,0.0,oppB,Involved in active transport of oligopeptide across the membrane (import). Responsible for the translocation of the substrate across the membrane.,Probable oligopeptide-transport integral membrane protein ABC transporter OppB,"Rv1283c, (MTCY373.02c), len: 325 aa. Probable oppB, oligopeptide-transport integral membrane protein ABC transporter (see citation below), similar to other integral membrane proteins e.g. DPPB_ECOLI|P37316 dipeptide transport system permease protein from Escherichia coli (339 aa), FASTA scores: opt: 402, E(): 3.4e-20, (31.0% identity in 345 aa overlap); etc. Also similar to Rv3665c|DppB probable peptide-transport integral membrane protein from Mycobacterium tuberculosis. Contains PS00402 Binding-protein-dependent transport systems inner membrane comp signature.",P9WFZ7,No,cell wall and cell processes,,P66966,P9WFZ7,"GO:0015833,GO:0005886,GO:0015031,GO:0005215,GO:0016021",,,,,,"ML1124,ML1124c",MMAR_4136,MSMEG_4995,Mb1314c,,,,,
Rv1280c,GTHRDt2,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,1431665.0,1433440.0,.,-,0.0,oppA,"Involved in active transport of oligopeptide across the membrane (import). This protein is a component of the oligopeptide permease, a binding protein-dependent transport system; it binds peptides up to five amino acids long with high affinity.",Probable periplasmic oligopeptide-binding lipoprotein OppA,"Rv1280c, (MTCY50.02), len: 591 aa. Probable oppA, oligopeptide-binding lipoprotein component of peptide transport system (see citation below), sharing some similarity to other periplasmic solute binding proteins e.g. OPPA_SALTY|P06202 periplasmic oligopeptide-binding protein from Salmonella typhimurium (542 aa), FASTA scores: E(): 5.1e-05, (22.1% identity in 458 aa overlap); etc. Also similar to Rv1166 and Rv2585c from Mycobacterium tuberculosis. Has possible N-terminal signal sequence and prokaryotic lipoprotein lipid attachment site (PS00013). Belongs to the bacterial extracellular solute-binding protein family 5.",P9WGU5,No,cell wall and cell processes,,P66771,P9WGU5,"GO:0005886,GO:0006810,GO:0005215,GO:0016021",,,,,P9WGU5,"ML1121,ML1121c",MMAR_4139,MSMEG_4999,Mb1311c,,,,,
Rv1281c,GTHRDt2,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,1433433.0,1435271.0,.,-,0.0,oppD,Involved in active transport of oligopeptide across the membrane (import). Responsible for energy coupling to the transport system.,Probable oligopeptide-transport ATP-binding protein ABC transporter OppD,"Rv1281c, (MTCY50.01), len: 612 aa. Probable oppD, oligopeptide-transport ATP-binding protein ABC transporter (see citation below), similar to others e.g. DPPD_BACSU|P26905 dipeptide transport ATP-binding protein from Bacillus subtilis (335 aa), FASTA scores: opt: 983, E(): 0, (48.6% identity in 319 aa overlap); etc. Contains 2 x PS00017 ATP/GTP-binding site motif A (P-loop); 2 x PS00211 ABC transporters family signature. Belongs to the ATP-binding transport protein family (ABC transporters).",P9WQJ5,No,cell wall and cell processes,,P63395,P9WQJ5,"GO:0016887,GO:0015833,GO:0015197,GO:0005524",,,,,P9WQJ5,"ML1122,ML1122c",MMAR_4138,MSMEG_4997,Mb1312c,,,,,
Rv1282c,GTHRDt2,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,1435268.0,1436143.0,.,-,0.0,oppC,Involved in active transport of oligopeptide across the membrane (import). Responsible for the translocation of the substrate across the membrane.,Probable oligopeptide-transport integral membrane protein ABC transporter OppC,"Rv1282c, (MTCY373.01c-MTCY3H3.01), len: 291 aa. Probable oppC, oligopeptide-transport integral membrane protein ABC transporter (see Braibant et al., 2000), similar to other integral membrane proteins e.g. OPPC_ECOLI|P77664 oligopeptide transport system permease from Escherichia coli (302 aa), FASTA scores: E(): 4.6e-33, (40.7% identity in 275 aa overlap); etc. Also similar to Rv3664c|DPPC probable peptide-transport integral membrane protein from Mycobacterium tuberculosis.",P9WFZ9,No,cell wall and cell processes,,P66964,P9WFZ9,"GO:0015833,GO:0005886,GO:0015031,GO:0005215,GO:0016021",,,,,,"ML1123,ML1123c",MMAR_4137,MSMEG_4996,Mb1313c,,,,,
Rv2394,GTMLT,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,2688010.0,2689941.0,.,+,0.0,ggtB,"Plays a key role in the gamma-glutamyl cycle, a pathway for the synthesis and degradation of glutathione [catalytic activity: 5-L-glutamyl)-peptide + an amino acid = peptide + 5-L-glutamyl-amino acid].",Probable gamma-glutamyltranspeptidase precursor GgtB (gamma-glutamyltransferase) (glutamyl transpeptidase),"Rv2394, (MTCY253.27c), len: 643 aa. Probable ggtB, gamma-glutamyltranspeptidase precursor, similar to many e.g. Q9KVF2|VC0194 from Vibrio cholerae (588 aa), FASTA scores: opt: 943, E(): 7.5e-47, (40.0% identity in 597 aa overlap); O69935|SC3C8.26 from Streptomyces coelicolor (603 aa), FASTA scores: opt: 822, E(): 7.2e-40, (33.6% identity in 622 aa overlap); P54422|GGT_BACSU from Bacillus subtilis (587 aa) FASTA scores: opt: 491, E(): 8.2e-21, (33.4% identity in 574 aa overlap); etc. Has potential signal peptide and appropriately positioned prokaryotic lipoprotein attachment site (PS00013).",P71750,No,intermediary metabolism and respiration,,P71750,P71750,"GO:0003840,GO:0008415",2.3.2.2,,,,P71750,,MMAR_3713,MSMEG_3076,Mb2415,,,,,
Rv0773c,GTMLT,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,865851.0,867389.0,.,-,0.0,ggtA,"Besides the cephalosporin acylase I activity which converts GL-7ACA into 7-ACA; this enzyme displays some gamma glutamyltranspeptidase activity: GGT plays a key role in the gamma-glutamyl cycle, a pathway for the synthesis and degradation of glutathione. [catalytic activity 1: 7-beta-(4-carboxybutanamido)-cephalosporanic acid + H2O = 7-aminocephalosporanic acid + glutaric acid] [catalytic activity 2: (5-L-glutamyl)-peptide + an amino acid = peptide + 5-L-glutamyl-amino acid].",Probable bifunctional acylase GgtA: cephalosporin acylase (GL-7ACA acylase) + gamma-glutamyltranspeptidase (GGT),"Rv0773c, (MTCY369.18), len: 512 aa. Probable ggtA, bifunctional acylase including cephalosporin acylase, and gamma-glutamyl transpeptidase; highly similar to others e.g. NP_295247.1|NC_001263 cephalosporin acylase from Deinococcus radiodurans (535 aa); NP_248854.1|NC_002516 probable gamma-glutamyltranspeptidase from Pseudomonas aeruginosa (538 aa); P15557|PAC1_PSES3 acylase ACY 1 [includes: cephalosporin acylase (GL-7ACA acylase); gamma-glutamyltranspeptidase (GGT)] from Pseudomonas sp. strain SE83 (558 aa), FASTA scores: opt: 784, E(): 0, (34.2% identity in 526 aa overlap); NP_391491.1|NC_000964|Z93767|BSZ93767_6|O0521 protein similar to gamma-glutamyltransferase from Bacillus subtilis (525 aa), FASTA scores: opt: 1169, E(): 0, (40.1% identity in 516 aa overlap); etc. Also similar to Rv2394|ggtB from Mycobacterium tuberculosis. Member of GL-7ACA acylases and to GGT group.",I6X9S5,No,intermediary metabolism and respiration,,P71828,I6X9S5,"GO:0003840,GO:0016787,GO:0008415","3.5.1.-,2.3.2.2",,,,I6X9S5,ML2234,MMAR_4920,MSMEG_1463,Mb0796c,,,,,
Rv3609c,GTPCI,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,4049977.0,4050585.0,.,-,0.0,folE,"Involved in the biosynthesis of tetrahydrofolate (at the first step) [catalytic activity: GTP + 2 H(2)O = formate + 2-amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate].",GTP cyclohydrolase I FolE (GTP-ch-I),"Rv3609c, (MTCY07H7B.13), len: 202 aa. Probable folE (alternate gene name: gchA), GTP cyclohydrolase I, equivalent to O69531|GCH1_MYCLE|FOLE|ML0223|MLCB2548.08c GTP cyclohydrolase I from Mycobacterium leprae (205 aa) FASTA scores: opt: 1112, E(): 3.8e-63, (81.95% identity in 205 aa overlap). Also highly similar to many e.g. Q9X8I3|GCH1_STRCO|FOLE|SCE9.10c from Streptomyces coelicolor (201 aa), FASTA scores: opt: 873, E(): 4.2e-48, (67.4% identity in 187 aa overlap); Q9KCC7|MTRA|BH1646 from Bacillus halodurans (188 aa), FASTA scores: opt: 757, E(): 8.1e-41, (62.3% identity in 183 aa overlap); P19465|GCH1_BACSU|FOLE|MTRA from Bacillus subtilis (190 aa), FASTA scores: opt: 750, E(): 2.3e-40, (58.95% identity in 190 aa overlap); etc. Contains PS00860 GTP cyclohydrolase I signature 2. Belongs to the GTP cyclohydrolase I family.",P9WN57,No,intermediary metabolism and respiration,,P64207,P9WN57,"GO:0003934,GO:0005737,GO:0046872,GO:0006730,GO:0046654,GO:0005525",3.5.4.16,,,,P9WN57,ML0223,MMAR_5112,MSMEG_6104,Mb3639c,,,,,
Rv1415,GTPCII,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,1590397.0,1591674.0,.,+,0.0,ribA2,"Involved in riboflavin biosynthesis [catalytic activity: GTP + 3 H(2)O = formate + 2,5-diamino-6-hydroxy-4-(5-phosphoribosylamino)pyrimidine + diphosphate].","Probable riboflavin biosynthesis protein RibA2 : GTP cyclohydrolase II + 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase)","Rv1415, (MTCY21B4.33), len: 425 aa. Probable ribA2, Riboflavin biosynthesis protein, similar to many e.g. GCH2_BACSU|P17620 Bacillus subtilis (398 aa), FASTA scores: opt: 1388, E(): 0, (55.4% identity in 399 aa overlap). Also similar to second Mycobacterium tuberculosis gtp cyclohydrolase Rv1940|ribA1 (353 aa). In the N-terminal section; belongs to the DHBP synthase family. In the C-terminal section; belongs to the GTP cyclohydrolase II family.",P9WHF1,No,intermediary metabolism and respiration,,P0A5V0,P9WHF1,"GO:0005525,GO:0003935,GO:0000287,GO:0030145,GO:0009231,GO:0008270,GO:0008686","3.5.4.25,4.1.99.12",,,,P9WHF1,ML0559,MMAR_2222,MSMEG_3072,Mb1450,,,,,
Rv1940,GTPCII,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,2192606.0,2193667.0,.,+,0.0,ribA1,"Involved in riboflavin biosynthesis [catalytic activity: GTP + 3 H(2)O = formate + 2,5-diamino-6-hydroxy-4-(5-phosphoribosylamino)pyrimidine + diphosphate]",Probable riboflavin biosynthesis protein RibA1 (GTP cyclohydrolase II),"Rv1940, (MTCY09F9.24c), len: 353 aa. Probable ribA1, Riboflavin biosynthesis protein, similar to GCH2_BACSU|P17620 gtp cyclohydrolase II (398 aa), FASTA scores: opt: 682, E(): 0, (37.7% identity in 363 aa overlap), also similar to Rv1415|MTCY21B4.33|ribA2 (428 aa) (45.4% identity in 368 aa overlap). Note that previously known as ribA.",L7N669,No,intermediary metabolism and respiration,,Q7D7R0,L7N669,"GO:0003935,GO:0009231,GO:0008686",3.5.4.25,,,,L7N669,,MMAR_2868,,Mb1975,,,,,
Rv1415,GTPCII2,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,1590397.0,1591674.0,.,+,0.0,ribA2,"Involved in riboflavin biosynthesis [catalytic activity: GTP + 3 H(2)O = formate + 2,5-diamino-6-hydroxy-4-(5-phosphoribosylamino)pyrimidine + diphosphate].","Probable riboflavin biosynthesis protein RibA2 : GTP cyclohydrolase II + 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase)","Rv1415, (MTCY21B4.33), len: 425 aa. Probable ribA2, Riboflavin biosynthesis protein, similar to many e.g. GCH2_BACSU|P17620 Bacillus subtilis (398 aa), FASTA scores: opt: 1388, E(): 0, (55.4% identity in 399 aa overlap). Also similar to second Mycobacterium tuberculosis gtp cyclohydrolase Rv1940|ribA1 (353 aa). In the N-terminal section; belongs to the DHBP synthase family. In the C-terminal section; belongs to the GTP cyclohydrolase II family.",P9WHF1,No,intermediary metabolism and respiration,,P0A5V0,P9WHF1,"GO:0005525,GO:0003935,GO:0000287,GO:0030145,GO:0009231,GO:0008270,GO:0008686","3.5.4.25,4.1.99.12",,,,P9WHF1,ML0559,MMAR_2222,MSMEG_3072,Mb1450,,,,,
Rv1940,GTPCII2,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,2192606.0,2193667.0,.,+,0.0,ribA1,"Involved in riboflavin biosynthesis [catalytic activity: GTP + 3 H(2)O = formate + 2,5-diamino-6-hydroxy-4-(5-phosphoribosylamino)pyrimidine + diphosphate]",Probable riboflavin biosynthesis protein RibA1 (GTP cyclohydrolase II),"Rv1940, (MTCY09F9.24c), len: 353 aa. Probable ribA1, Riboflavin biosynthesis protein, similar to GCH2_BACSU|P17620 gtp cyclohydrolase II (398 aa), FASTA scores: opt: 682, E(): 0, (37.7% identity in 363 aa overlap), also similar to Rv1415|MTCY21B4.33|ribA2 (428 aa) (45.4% identity in 368 aa overlap). Note that previously known as ribA.",L7N669,No,intermediary metabolism and respiration,,Q7D7R0,L7N669,"GO:0003935,GO:0009231,GO:0008686",3.5.4.25,,,,L7N669,,MMAR_2868,,Mb1975,,,,,
Rv2583c,GTPDPK,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,2907826.0,2910198.0,.,-,0.0,relA,Involved in the metabolism of PPGPP (at the first step). In eubacteria PPGPP (guanosine 3'-diphosphate 5-'diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance. This enzyme catalyzes the formation of PPPGPP which is then hydrolysed to form PPGPP [catalytic activity: ATP + GTP = AMP + guanosine 3'-diphosphate 5-'triphosphate].,Probable GTP pyrophosphokinase RelA (ATP:GTP 3'- pyrophosphotransferase) (PPGPP synthetase I) ((P)PPGPP synthetase) (GTP diphosphokinase),"Rv2583c, (MTCY227.18), len: 790 aa. Probable relA, GTP pyrophosphokinase, equivalent to Q49640|RELA_MYCLE|ML0491|MLCB1259.09|B1177_C1_168 probable GTP pyrophosphokinase from Mycobacterium leprae (787 aa), FASTA scores: opt: 4834, E(): 0, (93.4% identity in 790 aa overlap). Also highly similar to others e.g. O87331|RELA_CORGL|RELA|rel from Corynebacterium glutamicum (Brevibacterium flavum) (760 aa), FASTA scores: opt: 3375, E(): 1.6e-196, (67.0% identity in 758 aa overlap); O85709|RELA_STRAT from Streptomyces antibioticus (841 aa), FASTA scores: opt: 3209, E(): 1.9e-186, (63.85% identity in 786 aa overlap); Q9KDH1|RELA|BH1242 from Bacillus halodurans (728 aa), FASTA scores: opt: 2195,E(): 3.8e-125, (45.65% identity in 714 aa overlap); etc. Belongs to the RELA / spot family.",P9WHG9,No,intermediary metabolism and respiration,,P66014,P9WHG9,"GO:0005525,GO:0008728,GO:0016597,GO:0015969,GO:0016301,GO:0005524",2.7.6.5,,,,P9WHG9,ML0491,MMAR_2124,MSMEG_2965,Mb2614c,,,,,
